Profile Summary
Generated on: 2020-10-15 13:55:47
Msec since Epoch: 1602770147386
Profiled application: host
Target platform: 
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 
Target devices: xilinx_aws-vu9p-f1_dynamic_5_0-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,289.878,289.878,289.878,289.878,
clReleaseProgram,1,83.4166,83.4166,83.4166,83.4166,
clCreateContext,1,65.3535,65.3535,65.3535,65.3535,
clReleaseContext,1,18.4326,18.4326,18.4326,18.4326,
clEnqueueTask,1,17.0817,17.0817,17.0817,17.0817,
clEnqueueMapBuffer,3,1.88385,0.050976,0.627949,1.67472,
clCreateKernel,1,1.29008,1.29008,1.29008,1.29008,
clWaitForEvents,2,0.279416,0.058356,0.139708,0.22106,
clFinish,1,0.229953,0.229953,0.229953,0.229953,
clSetKernelArg,6,0.12785,0.004559,0.0213083,0.060258,
clEnqueueUnmapMemObject,3,0.103701,0.021634,0.034567,0.04168,
clGetExtensionFunctionAddress,2,0.076818,0.01458,0.038409,0.062238,
clGetPlatformInfo,14,0.066581,0.004345,0.00475579,0.005887,
clEnqueueMigrateMemObjects,1,0.0659,0.0659,0.0659,0.0659,
clReleaseMemObject,7,0.052571,0.00444,0.00751014,0.019788,
clCreateBuffer,3,0.039371,0.006179,0.0131237,0.023883,
clReleaseKernel,1,0.02204,0.02204,0.02204,0.02204,
clRetainMemObject,4,0.020399,0.004506,0.00509975,0.006362,
clReleaseEvent,2,0.017169,0.007858,0.0085845,0.009311,
clCreateCommandQueue,1,0.016594,0.016594,0.016594,0.016594,
clGetDeviceIDs,2,0.014909,0.004651,0.0074545,0.010258,
clGetExtensionFunctionAddressForPlatform,2,0.014696,0.005083,0.007348,0.009613,
clReleaseDevice,2,0.01348,0.005564,0.00674,0.007916,
clRetainDevice,2,0.010271,0.004814,0.0051355,0.005457,
clReleaseCommandQueue,1,0.006445,0.006445,0.006445,0.006445,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult,1,0.28078,0.28078,0.28078,0.28078,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1,mmult,1:1:1,1:1:1,1,Yes,1,1.000000x,0.087272,0.087272,0.087272,0.087272,250,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,1,231.294822,2.409321,16.384,0.070836,0.070836,
context0:1,WRITE,4,283.393527,2.952016,20.48,0.289068,0.072267,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm1,Input_1|Output,DDR[1],READ,16,12681.1,100,1.024,781.75,
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm1,Input_1|Output,DDR[1],WRITE,16,984.615,8.54701,1.024,1185,
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1/m_axi_aximm2,Input_2,DDR[2],READ,16,12487.8,100,1.024,800.25,


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
xilinx_aws-vu9p-f1_dynamic_5_0-0,mmult_1,48,1024,25,0.049152,0.016384,0.032768,2554.15,


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
36624112,mmult,0,0,xilinx_aws-vu9p-f1_dynamic_5_0-0,515.234,0.28078,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
0,0,0,498.062,0.117652,32.768,278.516302,
0,0,0,516.106,0.097456,16.384,168.116894,
17179869184,0,0,516.249,0.066992,16.384,244.566515,
16384,0,0,516.349,0.006968,16.384,2351.320321,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
16384,0,0,515.641,0.070836,16.384,231.294822,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_aws-vu9p-f1_dynamic_5_0-0,0.280780,
CU_CALLS,xilinx_aws-vu9p-f1_dynamic_5_0-0|mmult_1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_ACCEL|1,1,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_MEMORY|2,2,
NUM_MONITORS,xilinx_aws-vu9p-f1_dynamic_5_0-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[1],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[2],1,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR[3],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[0],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[1],0,
MEMORY_USAGE,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM[2],0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_1/m_axi_aximm1,512,
PORT_BIT_WIDTH,mmult_1/m_axi_aximm2,512,
KERNEL_COUNT,mmult,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult,1,
COMMAND_QUEUE_OOO,36624624,0,
PLRAM_SIZE_BYTES,xilinx_aws-vu9p-f1_dynamic_5_0-0,131072,
KERNEL_BUFFER_INFO,mmult|Input_1|DDR[1]|1,16384,
KERNEL_BUFFER_INFO,mmult|Input_2|DDR[2]|1,16384,
KERNEL_BUFFER_INFO,mmult|Output|DDR[1]|1,16384,
TRACE_BUFFER_FULL,xilinx_aws-vu9p-f1_dynamic_5_0-0,0,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,xilinx_aws-vu9p-f1_dynamic_5_0-0|PLRAM,512,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,fine,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,1M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,0.070836,
BUFFER_WR_ACTIVE_TIME_MS,all,0.289068,
BUFFER_TX_ACTIVE_TIME_MS,all,18.2933,
APPLICATION_RUN_TIME_MS,all,618.49,
TOTAL_KERNEL_RUN_TIME_MS,all,0.28078,


