Timeline Trace
Generated on: 2020-10-15 13:55:47
Msec since Epoch: 1602770147387
Profiled application: host
Target platform: Xilinx
Tool version: 2020.1
XRT build version: 2.6.0
Build version branch: 2020.1
Build version hash: 12115fd4054cb46a5ade62fafa74c523f59116e6
Build version date: 2020-07-09 15:20:59 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
138.701834,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
138.749268,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
138.758881,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
138.764072,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
138.771038,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
138.776226,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
138.781309,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
138.785618,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
138.792831,clGetPlatformInfo|General,START,,,,,,,,,,,4,
138.798337,clGetPlatformInfo|General,END,,,,,,,,,,,4,
138.802709,clGetPlatformInfo|General,START,,,,,,,,,,,5,
138.807309,clGetPlatformInfo|General,END,,,,,,,,,,,5,
138.856247,clGetPlatformInfo|General,START,,,,,,,,,,,6,
138.862134,clGetPlatformInfo|General,END,,,,,,,,,,,6,
138.866517,clGetPlatformInfo|General,START,,,,,,,,,,,7,
138.870973,clGetPlatformInfo|General,END,,,,,,,,,,,7,
138.87534,clGetPlatformInfo|General,START,,,,,,,,,,,8,
138.880166,clGetPlatformInfo|General,END,,,,,,,,,,,8,
138.88442,clGetPlatformInfo|General,START,,,,,,,,,,,9,
138.888947,clGetPlatformInfo|General,END,,,,,,,,,,,9,
138.8933,clGetPlatformInfo|General,START,,,,,,,,,,,10,
138.898062,clGetPlatformInfo|General,END,,,,,,,,,,,10,
138.90236,clGetPlatformInfo|General,START,,,,,,,,,,,11,
138.906793,clGetPlatformInfo|General,END,,,,,,,,,,,11,
138.911323,clGetPlatformInfo|General,START,,,,,,,,,,,12,
138.916034,clGetPlatformInfo|General,END,,,,,,,,,,,12,
138.920398,clGetPlatformInfo|General,START,,,,,,,,,,,13,
138.924743,clGetPlatformInfo|General,END,,,,,,,,,,,13,
138.929016,clGetPlatformInfo|General,START,,,,,,,,,,,14,
138.933363,clGetPlatformInfo|General,END,,,,,,,,,,,14,
